year,award_no,presented_by,category,film,winner,speech
1962,35,Sophia Loren,Actor,To Kill a Mockingbird,Gregory Peck,"GREGORY PECK:
 Thank you, fellow Academy members. Thank you, Harper Lee, Alan Pakula, Robert Mulligan, Russ Harlan, all of my good friends and associates at the studio. Thank you, members of the press who cover the local scene, critics, columnists across the country who approved of my work and said so. And I want to thank my family, my good, close friends, who have lent me inspiration and moral support and affection. Thank you very much.
"
1962,35,Rita Moreno,Actor in a Supporting Role,Sweet Bird of Youth,Ed Begley,"ED BEGLEY:
 I'm not Ed Begley. I've come a long way from Hartford, Connecticut. I want to thank Pandro Berman first because without him I wouldn't be in the picture. But I owe a great, great deal of thanks to Richard Brooks. A man for whom I had worked before; a fine director. But most of all, and this is from the heart, my agent George Morris. Really and truly this man had faith in me that I didn't have myself. I never dreamed I would get that part, but he had faith in me and he kept after it and I got it. Thank you very, very much.
"
1962,35,Maximilian Schell,Actress,The Miracle Worker,Anne Bancroft,"JOAN CRAWFORD:
 Miss Bancroft said, here's my little speech, dear Joan. Quote: ""There are three reasons why I deserve this award: Arthur Penn, Bill Gibson, Fred Coe."" Unquote. Thank you.
"
1962,35,George Chakiris,Actress in a Supporting Role,The Miracle Worker,Patty Duke,"PATTY DUKE:
 Thank you.
"
1963,36,Anne Bancroft,Actor,Lilies of the Field,Sidney Poitier,"SIDNEY POITIER:
 Because it is a long journey to this moment I am naturally indebted to countless numbers of people, principally among whom are Ralph Nelson, James Poe, William Barrett, Martin Baum, and of course the members of the Academy. For all of them, all I can say is a very special thank you.
"
1963,36,Patty Duke,Actor in a Supporting Role,Hud,Melvyn Douglas,"BRANDON DE WILDE:
 Mr. Douglas is in Spain and he wished me to thank the members of the Academy and his fellow actors and the entire group that was on ""Hud"" for this honor. Thank you.
"
1963,36,Gregory Peck,Actress,Hud,Patricia Neal,"ANNABELLA:
 Pat has a most wonderful excuse for not being with you tonight. You know she is expecting her first—fourth—child in London. But I know she's very happy, very proud, very grateful. She thank you all, all her thanks. And a very special one from Martin Ritt and for Paul Newman. Thank you all for her.
"
1963,36,Ed Begley,Actress in a Supporting Role,The V.I.P.s,Margaret Rutherford,"PETER USTINOV:
 May I, on behalf of a most distinguished, most deserving, and most funny friend, say thank you very much indeed.
"
1964,37,Audrey Hepburn,Actor,My Fair Lady,Rex Harrison,"REX HARRISON:
 Well, this is a very exciting evening for me and I feel in a way that I should split it in half [kisses Hepburn] between us.

 AUDREY HEPBURN:
 You deserve it all.

 REX HARRISON:
 I would like to thank everybody that had anything to do with the making of ""My Fair Lady."" It was a wonderful experience and I must thank George for being so marvelous with us, and Jack, and everybody else that's connected with it. And deep love to, well [looking at Hepburn], to fair ladies, I think.
"
1964,37,Angela Lansbury,Actor in a Supporting Role,Topkapi,Peter Ustinov,"JONATHAN WINTERS:
 I don't know whether Peter expected this, I certainly didn't. Otherwise I would have been sure to wear black socks. But I'll make this very brief. I'm more excited than if Peter were here himself. He's in England. I'm pretty sure in Europe. Obviously he isn't here; but if he were here, he, I'm sure, would be almost as speechless as me. That's about it. Thank you so much on behalf of the Academy, the industry and everything. I hope that covers everybody. Thank you.
"
1964,37,Sidney Poitier,Actress,Mary Poppins,Julie Andrews,"JULIE ANDREWS:
 Thank you. Thank you. Thank you. Oh, this is lovely. I know you Americans are famous for your hospitality but this is really ridiculous. I have so many thank yous. I only know where to start and that's with Mr. Walt Disney, and naturally he has the largest thank you of all. I wouldn't know where to stop. I would somehow like to try and convey my really deep gratitude and, and well, gratefulness – well I just said that, hadn't I? – for being made to feel so really welcome in this country. Thank you very much indeed.
"
1964,37,Karl Malden,Actress in a Supporting Role,Zorba the Greek,Lila Kedrova,"LILA KEDROVA:
 Do you know, really I am so surprised that I can't, I don't know what... I have to say, I think that I will say that, thank you to this marvelous people of [unintelligible] Academy Awards. And thank you, thank you so much my dear, dear Michael Cacoyannis. Because it was your fault, it was not mine. I will never forget it. Never.
"
1965,38,Julie Andrews,Actor,Cat Ballou,Lee Marvin,"LEE MARVIN:
 Thank you. Thank you all very much. I don't want to take up too much of your time; there's too many people to correctly thank for my career. I think, though, that half of this belongs to a horse some place out in Nevada. Thank you.
"
1965,38,Lila Kedrova,Actor in a Supporting Role,A Thousand Clowns,Martin Balsam,"MARTIN BALSAM:
 Thank you. I've just seen all those movies; I don't know what to say now. I'm elated. I'm delighted. I'm stunned. I want to thank UA. I want to thank Fred Coe. I want to thank Herb Gardner. And I want to thank all the people I've worked with and for. And the Academy. You've all made it possible. Thank you.
"
1965,38,Rex Harrison,Actress,Darling,Julie Christie,"JULIE CHRISTIE:
 I don't think I can say anything except to thank everyone concerned, and especially my darling John Schlesinger, for this wonderful honor. Thank you.
"
1965,38,Peter Ustinov,Actress in a Supporting Role,A Patch of Blue,Shelley Winters,"SHELLEY WINTERS:
 Thank you very much, members of the Academy, for giving this to me the second time in my life. I wish to thank very much my director, Mr. Guy Green, who truly understood the role I played better than I did. And I would like to especially thank Mr. Pandro Berman for not only making such a sensitive, beautiful picture about a subject of integration such as ""A Patch of Blue"" is, but for making the picture a box-office success, which is very important for subjects like these. And I'd like to thank my agent again, Herb Brenner. Thank you.
"
1966,39,Julie Christie,Actor,A Man for All Seasons,Paul Scofield,"WENDY HILLER:
 It is a great joy to me to accept this award on behalf of one of the finest and one of the most loved actors in my country. There is something very special in being recognized in a country other than one's own and I know that Paul Scofield would want me to say with great warmth and great humility, thank you.
"
1966,39,Shelley Winters,Actor in a Supporting Role,The Fortune Cookie,Walter Matthau,"WALTER MATTHAU:
 Thank you. The other day, as I was falling off my bicycle, I had the following thoughts: I was given a very juicy part; I was allowed to work with talented, exhilarating and beautiful people; I was given a good deal of money and a great deal of joy. And now, really, don't you think this is going a little too far? [Laughs.] Thank you, anyway.
"
1966,39,Lee Marvin,Actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,"ANNE BANCROFT:
 Miss Taylor regrets very much that she can't be here tonight. I'm sure she must be very, very proud; not half as nervous as me, I'm sure. But she thanks you very, very much. Thank you.
"
1966,39,Sidney Poitier,Actress in a Supporting Role,Who's Afraid of Virginia Woolf?,Sandy Dennis,"MIKE NICHOLS:
 Sandy thanks you very much. I thank Sandy. It was nice to be up here.
"
1967,40,Audrey Hepburn,Actor,In the Heat of the Night,Rod Steiger,"ROD STEIGER:
 Thank you. Thank you very much. For maharishi's sake. Thank you, thank you, thank you.

 Ladies and gentlemen, I thank you. I find it unbelievable, I find it overwhelming and I wish to thank the members of the Academy for such an experience. Secondly, if I may indulge myself, I would like to thank the people in the public who've been so kind to me. Thirdly, I'd like to thank Norman Jewison for his giving an actor freedom to make a mistake. Fourthly, and most importantly, I'd like to thank Mr. Sidney Poitier for the pleasure of his friendship which gave me the knowledge and understanding of prejudice in order to enhance my performance. Thank you, and we shall overcome.
"
1967,40,Patty Duke,Actor in a Supporting Role,Cool Hand Luke,George Kennedy,"GEORGE KENNEDY:
 Oh, I could bust. I have to thank Stuart Rosenberg for giving me the opportunity to even be here. And I must simply thank the Academy for the greatest moment of my life. Thank you.
"
1967,40,Sidney Poitier,Actress,Guess Who's Coming to Dinner,Katharine Hepburn,"GEORGE CUKOR:
 I know that I as her friend have a great, great thrill and I'm sure Katharine thanks you very much. And I think it's a very, very hard choice you had to make. Anyway, I'm sure she'll be very happy. Thank you very much.
"
